<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSTN.US,5,20251231,160500,9.92,9.92,9.92,9.92,1800,0
WSTN.US,5,20251231,161000,9.9159,9.9159,9.9159,9.9159,250,0
WSTN.US,5,20251231,162500,9.91,9.91,9.91,9.91,100000,0
WSTN.US,5,20251231,165000,9.9,9.9,9.9,9.9,1248,0
WSTN.US,5,20251231,170000,9.9,9.9,9.9,9.9,7400,0
WSTN.US,5,20251231,175000,9.9,9.9,9.9,9.9,100,0
WSTN.US,5,20251231,203500,9.89,9.9,9.89,9.9,7551,0
WSTN.US,5,20251231,204500,9.9,9.9,9.9,9.9,400,0
WSTN.US,5,20251231,205000,9.89,9.89,9.89,9.89,300,0
WSTN.US,5,20251231,210000,9.9,9.9,9.9,9.9,100,0
WSTN.US,5,20251231,215500,9.89,9.89,9.89,9.89,8200,0
WSTN.US,5,20260102,155500,9.9032,9.9032,9.9032,9.9032,188,0
WSTN.US,5,20260102,164500,9.8933,9.8933,9.8933,9.8933,188,0
WSTN.US,5,20260102,173500,9.9,9.9,9.9,9.9,250,0
WSTN.US,5,20260102,204000,9.89,9.89,9.89,9.89,100,0
WSTN.US,5,20260105,155000,9.9,9.9,9.9,9.9,1800,0
WSTN.US,5,20260105,160500,9.912,9.912,9.912,9.912,250,0
WSTN.US,5,20260105,163500,9.92,9.92,9.92,9.92,168,0
WSTN.US,5,20260105,164500,9.9,9.9,9.9,9.9,168,0
WSTN.US,5,20260105,174000,9.9,9.9,9.9,9.9,3232,0
WSTN.US,5,20260105,212500,9.9,9.9,9.89,9.89,29600,0
WSTN.US,5,20260105,214500,9.89,9.89,9.89,9.89,5000,0
WSTN.US,5,20260106,174000,9.89,9.89,9.89,9.89,250,0
WSTN.US,5,20260106,175500,9.91,9.91,9.91,9.91,39554,0
WSTN.US,5,20260107,154000,9.9,9.9,9.9,9.9,10000,0
WSTN.US,5,20260107,155000,9.9,9.9,9.9,9.9,2000,0
WSTN.US,5,20260107,160500,9.9,9.9,9.9,9.9,20000,0
WSTN.US,5,20260107,161500,9.9,9.9,9.895,9.9,40000,0
WSTN.US,5,20260107,164000,9.9,9.9,9.9,9.9,200,0
WSTN.US,5,20260107,185500,9.91,9.91,9.91,9.91,100000,0
WSTN.US,5,20260107,190000,9.905,9.905,9.9,9.9,20684,0
WSTN.US,5,20260107,192000,9.9,9.9,9.9,9.9,150000,0
WSTN.US,5,20260108,153000,9.9001,9.91,9.9001,9.91,10000,0
WSTN.US,5,20260108,190000,9.905,9.91,9.905,9.91,5000,0
WSTN.US,5,20260108,212000,9.91,9.91,9.91,9.91,162,0
WSTN.US,5,20260108,213000,9.91,9.91,9.91,9.91,162,0
