<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YI.US,5,20250813,153000,6.63,6.63,6.62,6.62,333,0
YI.US,5,20250813,154000,6.6586,6.6586,6.62,6.62,496,0
YI.US,5,20250813,154500,6.6586,6.6586,6.62,6.62,226,0
YI.US,5,20250813,155500,6.51,6.555,6.41,6.5376,6887,0
YI.US,5,20250813,160500,6.4101,6.459,6.41,6.459,2399,0
YI.US,5,20250813,162000,6.4602,6.4602,6.46,6.46,200,0
YI.US,5,20250813,164000,6.3,6.3,6.3,6.3,100,0
YI.US,5,20250813,164500,6.3188,6.3188,6.3188,6.3188,149,0
YI.US,5,20250813,170000,6.2801,6.35,6.28,6.28,1500,0
YI.US,5,20250813,171000,6.3,6.3,6.3,6.3,100,0
YI.US,5,20250813,175500,6.3963,6.3963,6.3963,6.3963,122,0
YI.US,5,20250813,192000,6.4,6.465,6.4,6.4488,912,0
YI.US,5,20250813,195000,6.465,6.465,6.3301,6.3301,600,0
YI.US,5,20250813,201500,6.35,6.36,6.3,6.33,2463,0
YI.US,5,20250813,202000,6.3,6.435,6.3,6.435,2100,0
YI.US,5,20250813,205000,6.55,6.55,6.55,6.55,100,0
YI.US,5,20250813,205500,6.55,6.55,6.55,6.55,250,0
YI.US,5,20250813,210000,6.55,6.55,6.55,6.55,288,0
YI.US,5,20250813,211500,6.48,6.48,6.435,6.435,549,0
YI.US,5,20250813,212500,6.3,6.3,6.3,6.3,200,0
YI.US,5,20250813,213500,6.3,6.3,6.3,6.3,350,0
YI.US,5,20250813,214500,6.435,6.435,6.33,6.33,824,0
YI.US,5,20250813,215500,6.33,6.3925,6.23,6.3,1167,0
YI.US,5,20250814,153000,6.34,6.34,6.2334,6.2334,344,0
YI.US,5,20250814,164500,6.608,6.608,6.608,6.608,400,0
YI.US,5,20250814,165000,6.3501,6.3501,6.301,6.301,500,0
YI.US,5,20250814,165500,6.608,6.608,6.3,6.3,820,0
YI.US,5,20250814,170000,6.31,6.65,6.3,6.3002,1600,0
YI.US,5,20250814,170500,6.3135,6.3135,6.3135,6.3135,490,0
YI.US,5,20250814,172000,6.35,6.35,6.35,6.35,225,0
YI.US,5,20250814,172500,6.475,6.475,6.425,6.425,600,0
